quickie_name,exercise_name,reps,order
Quick Core, crunches, 10, 1
Quick Core, side crunches, 10, 2
Quick Core, rolling sit-ups, 10, 3
Quick Core, leg raises, 10, 4
Quick Pack, half-wipers, 5, 1
Quick Pack, crunch kicks, 10, 2
Quick Pack, rolling sit-ups, 5, 3
Quick Pack, open close scissors, 10, 4
Quick Easy, lunges, 5, 1
Quick Easy, incline push-ups, 10, 2
Quick Easy, crunches, 15, 3
Quick Easy, jumping jacks, 20, 4
Quick Start, mountain climbers, 15, 1
Quick Start, up down scissors, 15, 2
Quick Start, high knees, 15, 3
Quick Start, calf raises, 15, 4
Quick Burn, lunges, 5, 1
Quick Burn, box squats, 10, 2
Quick Burn, calf jumps, 15, 3
Quick Burn, high knees, 20, 4
Quick Pump, calf jumps, 10, 1
Quick Pump, box squats, 10, 2
Quick Pump, mountain climbers, 10, 3
Quick Pump, incline push-ups, 10, 4
Quick Silver, seated dips, 10, 1
Quick Silver, plank jacks, 20, 2
Quick Silver, incline push-ups, 10, 3
Quick Silver, mountain climbers, 20, 4
Quick Evo, box squats, 10, 1
Quick Evo, calf raises, 10, 2
Quick Evo, calf jumps, 10, 3
Quick Evo, squat jumps, 10, 4
Quick Up, push-ups, 10, 1
Quick Up, plank jacks, 10, 2
Quick Up, mountain climbers, 10, 3
Quick Up, incline push-ups, 10, 4
Quick One, push-ups, 5, 1
Quick One, box squats, 10, 2
Quick One, criss cross scissors, 15, 3
Quick One, plank jacks, 20, 4
Quick Burst, jumping jacks, 15, 1
Quick Burst, high knees, 15, 2
Quick Burst, mountain climbers, 15, 3
Quick Burst, plank jacks, 15, 4
Quick n Dirty, rolling sit-ups, 10, 1
Quick n Dirty, incline push-ups, 10, 2
Quick n Dirty, box squats, 10, 3
Quick n Dirty, jumping jacks, 10, 4
Bread & Butter, lunges, 10, 1
Bread & Butter, knee strikes, 20, 2
Bread & Butter, full-body crunches, 20, 3
Bread & Butter, burpees, 10, 4
Core Galore, half-wipers, 10, 1
Core Galore, shoot-ups, 15, 2
Core Galore, crunch kicks, 20, 3
Core Galore, criss cross scissors, 25, 4
Heating Up, squat jumps, 10, 1
Heating Up, lunges, 15, 2
Heating Up, box squats, 20, 3
Heating Up, calf jumps, 25, 4
Boot Camp, Spiderman push-ups, 10, 1
Boot Camp, atomic tricep blasters, 15, 2
Boot Camp, full-body crunches, 20, 3
Boot Camp, shoot-ups, 25, 4
Hard Core, sit-ups, 25, 1
Hard Core, leg raises, 25, 2
Hard Core, bicycle crunches, 25, 3
Hard Core, full-body crunches, 25, 4
Push-Up or Shut Up, Spiderman push-ups, 10, 1
Push-Up or Shut Up, decline push-ups, 20, 2
Push-Up or Shut Up, push-ups, 20, 3
Push-Up or Shut Up, clapping push-ups, 10, 4
Too Easy, pull-ups, 10, 1
Too Easy, atomic tricep blasters, 15, 2
Too Easy, seated dips, 20, 3
Too Easy, decline push-ups, 25, 4
BurpeEvo, box squats, 15, 1
BurpeEvo, push-ups, 15, 2
BurpeEvo, squat jumps, 15, 3
BurpeEvo, burpees, 15, 4
Core Time, up down scissors, 15, 1
Core Time, criss cross scissors, 15, 2
Core Time, open close scissors, 15, 3
Core Time, leg raises, 15, 4
Ab Time, full-body crunches, 15, 1
Ab Time, bicycle crunches, 30, 2
Ab Time, leg raises, 30, 3
Ab Time, half-wipers, 15, 4
Six Pack, half-wipers, 20, 1
Six Pack, bicycle crunches, 40, 2
Six Pack, up down scissors, 40, 3
Six Pack, full-body crunches, 20, 4
Harder Core, chest-ups, 20, 1
Harder Core, criss cross scissors, 40, 2
Harder Core, half-wipers, 40, 3
Harder Core, full-body crunches, 20, 4
Up and Down, calf raises, 40, 1
Up and Down, box squats, 20, 2
Up and Down, calf jumps, 40, 3
Up and Down, squat jumps, 20, 4
Shape Up, push-ups, 10, 1
Shape Up, seated dips, 20, 2
Shape Up, plank jacks, 20, 3
Shape Up, decline push-ups, 10, 4
Step It Up, burpees, 10, 1
Step It Up, decline push-ups, 20, 2
Step It Up, mountain climbers, 20, 3
Step It Up, atomic tricep blasters, 10, 4
Do It Now, Spiderman push-ups, 10, 1
Do It Now, inverted rows, 20, 2
Do It Now, dips, 10, 3
Do It Now, push-ups, 20, 4
Nothing Special, jumping chin-ups, 10, 1
Nothing Special, push-ups, 15, 2
Nothing Special, mountain climbers, 20, 3
Nothing Special, incline push-ups, 25, 4
Hip-Hop U Dont Stop, heiden hops, 10, 1
Hip-Hop U Dont Stop, forward backward hops, 10, 2
Hip-Hop U Dont Stop, side-to-side hops, 10, 3
Hip-Hop U Dont Stop, four square hops, 10, 4
Bang Bang Boogie, heiden hops, 10, 1
Bang Bang Boogie, knee strikes, 20, 2
Bang Bang Boogie, mountain climbers, 20, 3
Bang Bang Boogie, burpees, 10, 4
Beach Body, mountain climbers, 20, 1
Beach Body, criss cross scissors, 40, 2
Beach Body, bicycle crunches, 40, 3
Beach Body, burpees, 20, 4
Go Hard, high knees, 50, 1
Go Hard, Spiderman push-ups, 10, 2
Go Hard, bicycle crunches, 50, 3
Go Hard, jumping lunges, 10, 4
Hot In Here, heiden hops, 30, 1
Hot In Here, knee strikes, 30, 2
Hot In Here, squat jumps, 10, 3
Hot In Here, jumping lunges, 10, 4
Cant Stop Wont Stop, calf jumps, 50, 1
Cant Stop Wont Stop, squat jumps, 20, 2
Cant Stop Wont Stop, high knees, 50, 3
Cant Stop Wont Stop, burpees, 20, 4
En Fuego, Spiderman push-ups, 15, 1
En Fuego, mountain climbers, 40, 2
En Fuego, burpees, 15, 3
En Fuego, high knees, 40, 4
Evolution, squat jumps, 10, 1
Evolution, pull-ups, 10, 2
Evolution, burpees, 10, 3
Evolution, burpee pull-ups, 10, 4
Leg-endary, tuck jumps, 10, 1
Leg-endary, jumping lunges, 20, 2
Leg-endary, heiden hops, 30, 3
